"","brandsize_f","obs_id","dis","feature","price","idx.id1","idx.id2"
"1",FALSE,2106,0,0,0.047,   1,Heinz28
"2",TRUE,2106,0,0,0.034,   1,Heinz32
"3",FALSE,2106,0,0,0.050,   1,Heinz40
"4",FALSE,2106,0,0,0.031,   1,Hunts32
"5",FALSE, 788,0,0,0.045,   2,Heinz28
"6",TRUE, 788,0,1,0.025,   2,Heinz32
"7",FALSE, 788,0,0,0.046,   2,Heinz40
"8",FALSE, 788,0,0,0.035,   2,Hunts32
"9",TRUE, 398,0,0,0.043,   3,Heinz28
"10",FALSE, 398,0,0,0.035,   3,Heinz32
"11",FALSE, 398,0,0,0.049,   3,Heinz40
"12",FALSE, 398,0,0,0.037,   3,Hunts32
"13",FALSE, 124,0,0,0.040,   4,Heinz28
"14",TRUE, 124,1,0,0.022,   4,Heinz32
"15",FALSE, 124,0,0,0.050,   4,Heinz40
"16",FALSE, 124,0,0,0.031,   4,Hunts32
"17",FALSE,1804,0,0,0.047,   5,Heinz28
"18",TRUE,1804,0,0,0.034,   5,Heinz32
"19",FALSE,1804,0,0,0.050,   5,Heinz40
"20",FALSE,1804,0,0,0.031,   5,Hunts32
"21",FALSE, 850,0,0,0.045,   6,Heinz28
"22",TRUE, 850,0,0,0.025,   6,Heinz32
"23",FALSE, 850,0,0,0.046,   6,Heinz40
"24",FALSE, 850,0,0,0.036,   6,Hunts32
"25",FALSE,1990,0,0,0.052,   7,Heinz28
"26",TRUE,1990,0,0,0.028,   7,Heinz32
"27",FALSE,1990,0,0,0.046,   7,Heinz40
"28",FALSE,1990,0,0,0.036,   7,Hunts32
"29",TRUE,2312,0,0,0.035,   8,Heinz28
"30",FALSE,2312,0,0,0.037,   8,Heinz32
"31",FALSE,2312,0,0,0.044,   8,Heinz40
"32",FALSE,2312,0,0,0.034,   8,Hunts32
"33",TRUE,2460,0,0,0.034,   9,Heinz28
"34",FALSE,2460,0,0,0.034,   9,Heinz32
"35",FALSE,2460,0,0,0.050,   9,Heinz40
"36",FALSE,2460,0,0,0.031,   9,Hunts32
"37",FALSE,1140,1,1,0.039,  10,Heinz28
"38",TRUE,1140,0,0,0.037,  10,Heinz32
"39",FALSE,1140,0,0,0.046,  10,Heinz40
"40",FALSE,1140,0,0,0.029,  10,Hunts32
"41",TRUE, 422,0,0,0.035,  11,Heinz28
"42",FALSE, 422,0,0,0.037,  11,Heinz32
"43",FALSE, 422,0,0,0.045,  11,Heinz40
"44",FALSE, 422,0,0,0.034,  11,Hunts32
"45",FALSE, 770,0,0,0.034,  12,Heinz28
"46",FALSE, 770,0,0,0.037,  12,Heinz32
"47",FALSE, 770,0,0,0.042,  12,Heinz40
"48",TRUE, 770,0,0,0.031,  12,Hunts32
"49",FALSE,2338,0,0,0.054,  13,Heinz28
"50",FALSE,2338,0,0,0.034,  13,Heinz32
"51",FALSE,2338,0,0,0.046,  13,Heinz40
"52",TRUE,2338,0,0,0.041,  13,Hunts32
"53",FALSE, 362,0,1,0.050,  14,Heinz28
"54",TRUE, 362,0,0,0.037,  14,Heinz32
"55",FALSE, 362,0,0,0.050,  14,Heinz40
"56",FALSE, 362,0,0,0.037,  14,Hunts32
"57",FALSE, 558,0,0,0.035,  15,Heinz28
"58",FALSE, 558,0,0,0.030,  15,Heinz32
"59",FALSE, 558,0,0,0.037,  15,Heinz40
"60",TRUE, 558,0,0,0.028,  15,Hunts32
"61",FALSE, 623,0,0,0.050,  16,Heinz28
"62",FALSE, 623,0,0,0.034,  16,Heinz32
"63",FALSE, 623,0,0,0.046,  16,Heinz40
"64",TRUE, 623,0,0,0.029,  16,Hunts32
"65",TRUE,1409,0,0,0.043,  17,Heinz28
"66",FALSE,1409,0,0,0.034,  17,Heinz32
"67",FALSE,1409,0,0,0.042,  17,Heinz40
"68",FALSE,1409,0,0,0.031,  17,Hunts32
"69",FALSE,  50,0,0,0.050,  18,Heinz28
"70",TRUE,  50,0,0,0.032,  18,Heinz32
"71",FALSE,  50,0,1,0.046,  18,Heinz40
"72",FALSE,  50,0,0,0.041,  18,Hunts32
"73",TRUE,1144,0,0,0.038,  19,Heinz28
"74",FALSE,1144,1,0,0.031,  19,Heinz32
"75",FALSE,1144,0,0,0.046,  19,Heinz40
"76",FALSE,1144,0,0,0.034,  19,Hunts32
