OBS,HOUSEHOLDID,LASTPURCHASE,PRIVATE,SUNSHINE,KEEBLER,NABISCO,PRICEPRIVATE,PRICESUNSHINE,PRICEKEEBLER,PRICENABISCO,DISPLPRIVATE,DISPLSUNSHINE,DISPLKEEBLER,DISPLNABISCO,FEATPRIVATE,FEATSUNSHINE,FEATKEEBLER,FEATNABISCO,FEATDISPLPRIVATE,FEATDISPLSUNSHIN,FEATDISPLKEEBLER,FEATDISPLNABISCO
1,1,0,0,0,0,1,0.709999979,0.980000019,0.879999995,1.199999928,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,1,0.709999979,0.99000001,1.089999914,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,1,0,0,0.779999912,0.49000001,1.089999914,1.089999914,0,1,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,1,0.779999912,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,1,0.639999986,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,1,0.839999914,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,1,0,0,0.779999912,1.089999914,1.089999914,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
8,1,0,0,0,0,1,0.779999912,1.089999914,1.190000057,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
9,1,0,0,0,0,1,0.779999912,1.089999914,1.209999919,1.089999914,0,0,0,1,0,0,0,0,0,0,0,0
10,1,0,0,0,0,1,0.779999912,0.789999962,1.209999919,1.089999914,0,1,0,1,0,0,0,0,0,0,0,0
11,1,0,0,0,0,1,0.959999979,1.089999914,1.129999995,1.089999914,0,0,0,1,0,0,0,0,0,0,0,0
12,1,0,0,0,0,1,0.859999955,1.089999914,1.209999919,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,1,0.859999955,0.889999986,1.209999919,0.99000001,0,1,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,1,0.959999979,1.089999914,1.089999914,1.289999962,0,0,1,1,0,0,0,0,0,0,0,0
15,1,0,0,0,0,1,0.789999962,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,0,0,0,1,0.959999979,1.289999962,1.039999962,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
17,2,0,0,0,0,1,0.689999998,0.789999962,0.99000001,0.689999998,0,0,0,0,0,0,0,0,0,0,0,0
18,2,0,0,1,0,0,0.649999976,0.689999998,1.049999952,0.889999986,0,0,0,1,0,0,0,0,0,1,0,0
19,2,0,0,1,0,0,0.689999998,0.789999962,1.25,1.059999824,0,0,0,0,0,0,0,0,0,1,0,0
20,2,0,0,1,0,0,0.689999998,0.789999962,1.25,1.059999824,0,1,0,0,0,0,0,0,0,0,0,0
21,2,0,0,1,0,0,0.689999998,0.789999962,1.25,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
22,2,0,0,1,0,0,0.569999933,0.970000029,1.149999976,1.089999914,0,0,0,0,0,0,0,1,1,0,0,0
23,2,0,0,1,0,0,0.649999976,0.789999962,1.349999905,1.089999914,0,1,0,1,0,0,0,0,0,0,0,0
24,2,0,0,0,1,0,0.599999964,0.970000029,0.99000001,1.25,0,0,1,0,0,0,0,0,0,0,0,0
25,2,0,0,1,0,0,0.730000019,1.089999914,1.349999905,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
26,2,0,0,1,0,0,0.759999931,1.089999914,1.349999905,1.149999976,0,0,0,0,0,0,0,0,0,0,0,0
27,2,0,0,0,0,1,0.589999914,1.049999952,1.25,0.99000001,0,0,1,1,0,0,0,0,0,0,0,0
28,2,0,0,0,1,0,0.589999914,1.049999952,0.99000001,1.289999962,0,0,0,0,0,0,0,0,0,0,1,0
29,2,0,0,1,0,0,0.889999986,0.889999986,1.349999905,1.039999962,0,0,0,0,0,0,0,0,0,0,0,0
30,2,0,0,0,0,1,0.589999914,1.049999952,1.289999962,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
31,2,0,0,0,0,1,0.649999976,1.049999952,1.289999962,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
32,2,1,0,1,0,0,0.649999976,1.049999952,1.289999962,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
33,3,0,0,0,0,1,0.589999914,0.680000007,0.879999995,0.879999995,0,0,0,0,0,0,0,0,0,0,0,0
34,3,0,1,0,0,0,0.789999962,0.99000001,1.089999914,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
35,3,0,1,0,0,0,0.549999952,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0,0,0,0,0
36,3,0,1,0,0,0,0.5,0.889999986,1.039999962,0.99000001,0,1,0,0,0,0,0,0,1,0,0,0
37,3,0,1,0,0,0,0.689999998,0.980000019,1.089999914,0.889999986,0,0,0,0,0,0,0,0,0,0,0,0
38,3,0,1,0,0,0,0.889999986,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
39,3,0,0,0,0,1,0.609999955,0.970000029,1.149999976,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
40,3,0,0,0,0,1,0.609999955,0.970000029,1.25,1.089999914,0,0,0,1,0,0,0,0,0,0,0,0
41,3,0,0,0,0,1,0.609999955,0.970000029,0.99000001,1.25,0,0,0,0,0,0,1,0,0,0,0,0
42,3,0,1,0,0,0,0.889999986,0.789999962,1.209999919,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
43,3,0,0,0,0,1,0.609999955,1.029999971,1.089999914,1.089999914,0,0,1,1,0,0,0,0,0,0,0,0
44,3,0,0,0,0,1,0.609999955,1.089999914,1.289999962,1.25,0,0,0,0,0,0,0,0,0,0,0,0
45,3,0,0,0,0,1,0.609999955,1.049999952,1.289999962,1.25,0,0,0,0,0,0,0,0,0,0,0,0
46,3,1,1,0,0,0,0.680000007,0.930000007,1.190000057,0.980000019,0,0,0,0,0,0,0,0,1,0,0,0
47,4,0,1,0,0,0,0.549999952,0.980000019,0.99000001,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
48,4,0,1,0,0,0,0.549999952,0.99000001,1.089999914,0.949999988,0,0,0,0,0,0,0,0,0,0,0,0
49,4,0,1,0,0,0,0.549999952,0.99000001,1.089999914,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
50,4,0,1,0,0,0,0.689999998,0.889999986,0.99000001,1.129999995,0,0,0,1,0,0,0,0,0,0,0,0
51,4,0,1,0,0,0,0.549999952,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0,0,0,0,0
