"","x"
"1","Name"
"2","Student number"
"3","71"
"4","R"
"5","4.1.2"
"6","-0.86697493635493"
"7","0.0909250600557034"
"8","-1.00829735117355"
"9","0.102743833339446"
"10","-2.42225357886269"
"11","0.114642071735177"
"12","-139.581293721888"
"13","6.83248604180229"
"14","0.908415773379488"
"15","0.116078605394312"
"16","1.05463070398273"
"17","0.137907382930854"
"18","-1789.43352691466"
"19","0.200969990025438"
"20","-21.3708990771041"
"21","15.133088397398"
"22","2.47671284349278"
"23","3.76109783621335"
"24","15.133088397398"
"25","-26.3337190832513"
"26","4.45925263973679"
"27","6.74137804611648"
"28","2.47671284349278"
"29","4.45925263973679"
"30","-7.9964490872212"
"31","1.06048360399164"
"32","3.76109783621335"
"33","6.74137804611648"
"34","1.06048360399164"
"35","-11.5629594863215"
"36","-0.032738731520731"
"37","-0.0586568546708605"
"38","-0.00899687222183482"
"39","0.100392458413426"
"40","12.8235092169806"
"41","0.0250900234238407"
