"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2022","259,000","259,000","259,000","259,000","0.03K","-3.00%"
"09/01/2022","267,000","268,000","268,000","267,000","0.04K","0.75%"
"08/01/2022","265,000","265,000","265,000","265,000","0.02K","1.15%"
"07/01/2022","262,000","259,000","262,000","259,000","0.01K","-1.87%"
"06/01/2022","267,000","270,000","270,000","270,000","0.02K","44.32%"
"12/01/2021","185,000","185,000","185,000","185,000","","0.00%"
"11/01/2021","185,000","200,000","200,000","200,000","","-7.50%"
"10/01/2021","200,000","190,000","190,000","190,000","","5.26%"
"09/01/2021","190,000","174,000","174,000","174,000","","9.20%"
"08/01/2021","174,000","168,500","168,500","168,500","","3.26%"
"07/01/2021","168,500","168,500","168,500","168,500","","0.00%"
"06/01/2021","168,500","167,500","167,500","167,500","","0.30%"
"05/01/2021","168,000","169,000","169,000","169,000","","-0.59%"
"04/01/2021","169,000","155,500","155,500","155,500","","81.72%"
"09/01/2017","93,000","93,000","93,000","93,000","","-1.06%"
"08/01/2017","94,000","94,000","94,000","94,000","","-2.08%"
"07/01/2017","96,000","96,000","96,000","96,000","","0.00%"
"06/01/2017","96,000","96,000","96,000","96,000","0.01K","-4.95%"
"04/01/2017","101,000","102,000","102,000","102,000","0.00K","-1.94%"
"03/01/2017","103,000","103,000","103,000","103,000","","-6.36%"
"02/01/2017","110,000","110,000","110,000","110,000","0.01K","-1.79%"
"01/01/2017","112,000","112,000","112,000","112,000","","0.00%"
"12/01/2016","112,000","112,000","112,000","112,000","0.00K","5.96%"
"11/01/2016","105,700","102,500","107,500","102,500","0.04K","3.53%"
"10/01/2016","102,100","100,500","102,500","100,500","0.03K","4.16%"
"09/01/2016","98,020","99,000","99,000","96,000","0.13K","-1.49%"
"08/01/2016","99,500","98,000","100,500","97,000","0.07K","0.51%"
"07/01/2016","99,000","107,500","107,500","99,000","0.13K","-8.76%"
"06/01/2016","108,500","109,500","109,500","109,500","0.00K","-0.46%"
"05/01/2016","109,000","105,000","108,500","105,000","0.03K","-7.86%"
"04/01/2016","118,300","118,000","118,500","118,000","0.03K","1.11%"
"03/01/2016","117,000","118,500","118,500","118,500","0.02K","-1.18%"
"02/01/2016","118,400","121,000","121,000","117,100","0.06K","-2.95%"
"01/01/2016","122,000","125,000","126,000","122,000","0.03K","-3.17%"
"12/01/2015","126,000","126,000","126,000","126,000","0.00K","0.80%"
"11/01/2015","125,000","124,000","125,500","124,000","0.02K","2.12%"
